,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
87,gigmoto,8,PH,1564017588,77,13.78,124.39,83.18,9.22
88,upernavik,0,GL,1564017589,85,72.79,-56.15,46.01,8.08
89,trairi,69,BR,1564017589,85,-3.28,-39.27,71.81,3.65
90,takaungu,20,KE,1564017589,94,-3.68,39.86,71.6,8.05
91,nara,75,JP,1564017590,62,34.68,135.8,90.0,3.36
92,lavrentiya,100,RU,1564017590,94,65.58,-170.99,44.23,7.2
93,dajal,0,PK,1564017590,45,29.56,70.38,92.54,5.75
94,bluff,18,AU,1564017591,33,-23.58,149.07,68.14,9.1
95,dikson,100,RU,1564017591,96,73.51,80.55,35.1,11.34
96,rawson,0,AR,1564017591,41,-43.3,-65.11,44.23,6.38
97,abu dhabi,60,AE,1564017311,44,24.47,54.37,95.0,12.75
98,codrington,90,AU,1564017592,71,-28.95,153.24,62.6,2.82
99,alekseyevsk,52,RU,1564017592,52,57.84,108.35,73.14,1.03
100,oum hadjer,49,TD,1564017592,49,13.3,19.7,86.6,7.0
101,poum,0,MK,1564017593,80,41.28,20.71,56.74,3.98
102,vao,8,EE,1564017593,80,59.1,26.19,63.98,3.87
103,aquin,23,HT,1564017593,98,18.28,-73.39,75.0,0.96
104,tuktoyaktuk,75,CA,1564017594,48,69.44,-133.03,62.6,20.8
105,altay,0,CN,1564017594,81,47.83,88.13,49.2,0.94
106,salalah,90,OM,1564017594,100,17.01,54.1,77.0,9.17
107,baykit,83,RU,1564017594,98,61.68,96.39,53.18,4.18
108,port elizabeth,1,US,1564017595,82,39.31,-74.98,75.99,8.46
109,lata,93,IN,1564017595,78,30.78,78.62,43.94,3.11
110,bambous virieux,75,MU,1564017595,88,-20.34,57.76,69.8,14.99
111,coahuayana,51,MX,1564017596,75,18.62,-100.35,81.49,1.57
112,ust-nera,62,RU,1564017596,35,64.57,143.24,67.31,7.45
113,thompson,75,CA,1564017596,37,55.74,-97.86,86.0,5.82
114,bulanash,2,RU,1564017597,84,57.28,62.0,51.45,3.67
115,provideniya,90,RU,1564017597,76,64.42,-173.23,51.8,11.18
116,port hardy,90,CA,1564017597,59,50.7,-127.42,66.2,9.17
117,esperance,75,AU,1564017597,100,-33.86,121.89,53.6,8.05
118,ingham,78,AU,1564017598,64,-18.65,146.16,66.75,4.12
119,san patricio,100,PY,1564017598,97,-26.98,-56.83,54.11,4.16
120,la ronge,75,CA,1564017598,54,55.1,-105.3,80.6,5.82
121,nampula,0,MZ,1564017599,87,-15.12,39.26,60.8,1.68
122,saldanha,0,PT,1564017599,41,41.42,-6.55,69.68,2.59
123,mabay,20,CU,1564017599,74,20.35,-76.78,78.8,8.05
124,avarua,6,CK,1564017599,61,-21.21,-159.78,77.0,10.29
125,tiksi,100,RU,1564017500,60,71.64,128.87,49.85,4.27
126,nanortalik,100,GL,1564017600,92,60.14,-45.24,39.5,2.51
127,broome,63,GB,1564017600,93,52.47,1.45,71.01,3.87
128,gayny,18,RU,1564017601,87,60.3,54.33,54.92,1.97
129,arraial do cabo,0,BR,1564017601,88,-22.97,-42.02,69.8,8.05
130,chimoio,0,MZ,1564017601,43,-19.11,33.48,56.11,2.84
131,seoul,75,KR,1564017488,94,37.57,126.98,80.6,5.82
132,saint george,20,GR,1564017602,73,39.45,22.34,69.8,3.29
133,apatou,63,SR,1564017602,98,5.16,-54.34,72.85,2.53
134,lucapa,0,AO,1564017602,22,-8.42,20.74,59.94,4.09
135,coihaique,0,CL,1564017603,81,-45.58,-72.07,42.8,6.93
136,los llanos de aridane,20,ES,1564017603,83,28.66,-17.92,71.6,11.41
137,tocopilla,99,CL,1564017603,72,-22.09,-70.2,55.84,9.4
138,tasiilaq,71,GL,1564017604,87,65.61,-37.64,44.6,3.36
139,khatanga,49,RU,1564017604,52,71.98,102.47,55.73,5.61
140,castro,20,CL,1564017604,100,-42.48,-73.76,35.6,0.98
141,erenhot,69,CN,1564017605,34,43.65,111.97,77.62,13.11
142,kavieng,87,PG,1564017605,80,-2.57,150.8,82.48,17.56
143,hurricane,90,US,1564017605,29,37.18,-113.29,93.0,6.93
144,lebu,78,ET,1564017605,91,8.96,38.73,54.29,0.65
145,campina verde,41,BR,1564017606,48,-19.54,-49.49,71.23,6.55
146,husavik,50,CA,1564017615,44,50.56,-96.99,79.0,5.99
147,kaitangata,66,NZ,1564017615,64,-46.28,169.85,51.01,8.99
148,meadow lake,75,CA,1564017615,69,54.13,-108.44,78.8,8.05
149,seymchan,31,RU,1564017616,35,62.93,152.39,71.07,1.1
150,kropotkin,23,RU,1564017616,87,45.43,40.58,68.19,6.08
151,kutum,49,SD,1564017616,37,14.2,24.66,81.65,6.24
152,savalou,49,BJ,1564017616,94,7.93,1.98,73.21,4.0
153,geraldton,20,CA,1564017617,53,49.72,-86.95,77.0,3.36
154,atambua,36,ID,1564017617,66,-9.11,124.89,75.03,12.73
155,eskil,0,TR,1564017617,55,38.4,33.41,68.91,9.46
156,hit,0,IQ,1564017618,20,33.64,42.83,87.11,11.92
157,sorland,100,NO,1564017618,95,67.67,12.69,55.03,6.35
158,rio gallegos,75,AR,1564017508,70,-51.62,-69.22,44.6,8.14
159,hamilton,40,CA,1564017619,56,43.26,-79.87,75.2,3.36
160,grindavik,75,IS,1564017619,93,63.84,-22.43,54.0,11.41
